timestamp,src_ip,dst_ip,length,protocol_type,syn_flag,ack_flag,icmp_payload_size,dst_port,is_http_traffic,is_partial_http
1769106925.094104,127.0.0.1,127.0.0.1,40,1,0,1,0,58163,0,0
1769106925.094112,127.0.0.1,127.0.0.1,40,1,0,1,0,58422,0,0
1769106925.094299,127.0.0.1,127.0.0.1,40,1,0,1,0,58163,0,0
1769106925.094383,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.094408,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.094618,127.0.0.1,127.0.0.1,52,1,1,1,0,58423,0,0
1769106925.094616,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.094683,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.094722,127.0.0.1,127.0.0.1,40,1,0,1,0,58397,0,0
1769106925.095002,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.095016,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.095038,127.0.0.1,127.0.0.1,40,1,0,1,0,58424,0,0
1769106925.095048,127.0.0.1,127.0.0.1,40,1,0,1,0,58425,0,0
1769106925.095473,127.0.0.1,127.0.0.1,40,1,0,1,0,58397,0,0
1769106925.095552,127.0.0.1,127.0.0.1,40,1,0,1,0,58164,0,0
1769106925.095569,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.09562,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.09634,127.0.0.1,127.0.0.1,40,1,0,1,0,58166,0,0
1769106925.096431,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.096825,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.096899,127.0.0.1,127.0.0.1,40,1,0,1,0,58412,0,0
1769106925.097172,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.097245,127.0.0.1,127.0.0.1,40,1,0,1,0,58412,0,0
1769106925.097328,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.09737,127.0.0.1,127.0.0.1,52,1,1,1,0,58426,0,0
1769106925.097429,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.098745,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.098797,127.0.0.1,127.0.0.1,40,1,0,1,0,58413,0,0
1769106925.099307,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.099377,127.0.0.1,127.0.0.1,40,1,0,1,0,58413,0,0
1769106925.09945,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.099495,127.0.0.1,127.0.0.1,52,1,1,1,0,58427,0,0
1769106925.099553,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.100582,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.100625,127.0.0.1,127.0.0.1,40,1,0,1,0,58416,0,0
1769106925.10085,127.0.0.1,127.0.0.1,40,1,0,1,0,58416,0,0
1769106925.100882,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.100965,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.101084,127.0.0.1,127.0.0.1,52,1,1,1,0,58428,0,0
1769106925.101139,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.10521,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.105279,127.0.0.1,127.0.0.1,40,1,0,1,0,58417,0,0
1769106925.105629,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.10568,127.0.0.1,127.0.0.1,40,1,0,1,0,58423,0,0
1769106925.105947,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.106103,127.0.0.1,127.0.0.1,52,1,1,1,0,58429,0,0
1769106925.106157,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.106706,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.106853,127.0.0.1,127.0.0.1,52,1,1,1,0,58430,0,0
1769106925.1069,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.107327,127.0.0.1,127.0.0.1,40,1,0,1,0,58417,0,0
1769106925.107397,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.107788,127.0.0.1,127.0.0.1,40,1,0,1,0,58423,0,0
1769106925.10787,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.10864,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.108737,127.0.0.1,127.0.0.1,40,1,0,1,0,58161,0,0
1769106925.108827,127.0.0.1,127.0.0.1,40,1,0,1,0,58161,0,0
1769106925.108911,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.109046,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.10914,127.0.0.1,127.0.0.1,40,1,0,1,0,58426,0,0
1769106925.109162,127.0.0.1,127.0.0.1,40,1,0,1,0,58426,0,0
1769106925.109236,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
