timestamp,src_ip,dst_ip,length,protocol_type,syn_flag,ack_flag,icmp_payload_size,dst_port,is_http_traffic,is_partial_http
1769105315.862422,127.0.0.1,127.0.0.1,540,2,0,0,0,20964,0,0
1769105315.862442,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.864879,127.0.0.1,127.0.0.1,540,2,0,0,0,30049,0,0
1769105315.864905,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.867388,127.0.0.1,127.0.0.1,540,2,0,0,0,531,0,0
1769105315.867404,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.870055,127.0.0.1,127.0.0.1,540,2,0,0,0,53071,0,0
1769105315.870074,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.872684,127.0.0.1,127.0.0.1,540,2,0,0,0,35107,0,0
1769105315.872734,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.875087,127.0.0.1,127.0.0.1,540,2,0,0,0,54415,0,0
1769105315.875123,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.87787,127.0.0.1,127.0.0.1,540,2,0,0,0,58672,0,0
1769105315.877904,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.881092,127.0.0.1,127.0.0.1,540,2,0,0,0,38416,0,0
1769105315.881121,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.883445,127.0.0.1,127.0.0.1,540,2,0,0,0,59505,0,0
1769105315.883461,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.886095,127.0.0.1,127.0.0.1,540,2,0,0,0,57701,0,0
1769105315.88611,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.888634,127.0.0.1,127.0.0.1,540,2,0,0,0,39833,0,0
1769105315.888652,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.891532,127.0.0.1,127.0.0.1,540,2,0,0,0,2147,0,0
1769105315.891551,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.894344,127.0.0.1,127.0.0.1,540,2,0,0,0,15639,0,0
1769105315.894364,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.89834,127.0.0.1,127.0.0.1,540,2,0,0,0,25933,0,0
1769105315.898364,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.900733,127.0.0.1,127.0.0.1,540,2,0,0,0,35071,0,0
1769105315.900749,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.903546,127.0.0.1,127.0.0.1,540,2,0,0,0,46680,0,0
1769105315.903566,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.905857,127.0.0.1,127.0.0.1,540,2,0,0,0,20486,0,0
1769105315.905873,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.908357,127.0.0.1,127.0.0.1,540,2,0,0,0,852,0,0
1769105315.908371,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.910899,127.0.0.1,127.0.0.1,540,2,0,0,0,49701,0,0
1769105315.910913,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.913393,127.0.0.1,127.0.0.1,540,2,0,0,0,25883,0,0
1769105315.913407,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.91588,127.0.0.1,127.0.0.1,540,2,0,0,0,43282,0,0
1769105315.915902,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.918467,127.0.0.1,127.0.0.1,540,2,0,0,0,22906,0,0
1769105315.918487,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.921004,127.0.0.1,127.0.0.1,540,2,0,0,0,19483,0,0
1769105315.921029,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.9243,127.0.0.1,127.0.0.1,540,2,0,0,0,25479,0,0
1769105315.924325,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.926668,127.0.0.1,127.0.0.1,540,2,0,0,0,39134,0,0
1769105315.926688,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.928987,127.0.0.1,127.0.0.1,540,2,0,0,0,31640,0,0
1769105315.929003,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.931419,127.0.0.1,127.0.0.1,540,2,0,0,0,47034,0,0
1769105315.931441,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.933914,127.0.0.1,127.0.0.1,540,2,0,0,0,3981,0,0
1769105315.933932,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.936556,127.0.0.1,127.0.0.1,540,2,0,0,0,52152,0,0
1769105315.936579,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.939704,127.0.0.1,127.0.0.1,540,2,0,0,0,47460,0,0
1769105315.939751,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.942415,127.0.0.1,127.0.0.1,540,2,0,0,0,17565,0,0
1769105315.942433,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.944923,127.0.0.1,127.0.0.1,540,2,0,0,0,1432,0,0
1769105315.94494,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.947718,127.0.0.1,127.0.0.1,540,2,0,0,0,48269,0,0
1769105315.947731,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.950372,127.0.0.1,127.0.0.1,540,2,0,0,0,54139,0,0
1769105315.950405,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.952891,127.0.0.1,127.0.0.1,540,2,0,0,0,12353,0,0
1769105315.952905,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.955655,127.0.0.1,127.0.0.1,540,2,0,0,0,22926,0,0
1769105315.955697,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.958747,127.0.0.1,127.0.0.1,540,2,0,0,0,11924,0,0
1769105315.958779,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.961516,127.0.0.1,127.0.0.1,540,2,0,0,0,50441,0,0
1769105315.961542,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.965164,127.0.0.1,127.0.0.1,540,2,0,0,0,17260,0,0
1769105315.96523,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.967739,127.0.0.1,127.0.0.1,540,2,0,0,0,57077,0,0
1769105315.967754,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.970075,127.0.0.1,127.0.0.1,540,2,0,0,0,31359,0,0
1769105315.970088,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.972432,127.0.0.1,127.0.0.1,540,2,0,0,0,4163,0,0
1769105315.972446,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.975411,127.0.0.1,127.0.0.1,540,2,0,0,0,64304,0,0
1769105315.975431,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.978509,127.0.0.1,127.0.0.1,540,2,0,0,0,8634,0,0
1769105315.978863,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
